id,name,start,end,cpu_count,avg_cpu_usage,cpu_model,memory,rapl_timeseries,cpu_usage_timeseries
314,NFCORE_SAREK:SAREK:FASTQ_ALIGN_BWAMEM_MEM2_DRAGMAP:BWAMEM1_MEM,1700876119000,1700877263000,8,792.9,,15032385536.0,,
459,NFCORE_SAREK:SAREK:BAM_MARKDUPLICATES:GATK4_MARKDUPLICATES,1700876179000,1700877263000,2,134.4,,25769803776.0,,
330,NFCORE_SAREK:SAREK:FASTQ_ALIGN_BWAMEM_MEM2_DRAGMAP:BWAMEM1_MEM,1700876147000,1700877298000,8,791.3,,15032385536.0,,
464,NFCORE_SAREK:SAREK:BAM_MARKDUPLICATES:INDEX_MARKDUPLICATES,1700877243000,1700877297000,2,2.5,,1073741824.0,,
327,NFCORE_SAREK:SAREK:FASTQ_ALIGN_BWAMEM_MEM2_DRAGMAP:BWAMEM1_MEM,1700876171000,1700877316000,8,795.4,,15032385536.0,,
495,NFCORE_SAREK:SAREK:BAM_BASERECALIBRATOR:GATK4_BASERECALIBRATOR,1700877303000,1700877316000,3,112.6,,3221225472.0,,
465,NFCORE_SAREK:SAREK:BAM_MARKDUPLICATES:INDEX_MARKDUPLICATES,1700877272000,1700877330000,2,1.9,,1073741824.0,,
498,NFCORE_SAREK:SAREK:BAM_BASERECALIBRATOR:GATK4_BASERECALIBRATOR,1700877303000,1700877325000,3,123.9,,3221225472.0,,
482,NFCORE_SAREK:SAREK:BAM_BASERECALIBRATOR:GATK4_BASERECALIBRATOR,1700877303000,1700877335000,3,152.4,,3221225472.0,,
329,NFCORE_SAREK:SAREK:FASTQ_ALIGN_BWAMEM_MEM2_DRAGMAP:BWAMEM1_MEM,1700876130000,1700877335000,8,790.4,,15032385536.0,,
492,NFCORE_SAREK:SAREK:BAM_BASERECALIBRATOR:GATK4_BASERECALIBRATOR,1700877303000,1700877342000,3,113.3,,3221225472.0,,
494,NFCORE_SAREK:SAREK:BAM_BASERECALIBRATOR:GATK4_BASERECALIBRATOR,1700877303000,1700877343000,3,61.0,,3221225472.0,,
487,NFCORE_SAREK:SAREK:BAM_BASERECALIBRATOR:GATK4_BASERECALIBRATOR,1700877319000,1700877342000,3,153.8,,3221225472.0,,
506,NFCORE_SAREK:SAREK:BAM_BASERECALIBRATOR:GATK4_BASERECALIBRATOR,1700877336000,1700877343000,3,210.1,,3221225472.0,,
543,NFCORE_SAREK:SAREK:BAM_BASERECALIBRATOR:GATK4_BASERECALIBRATOR,1700877339000,1700877346000,3,204.2,,3221225472.0,,
491,NFCORE_SAREK:SAREK:BAM_BASERECALIBRATOR:GATK4_BASERECALIBRATOR,1700877304000,1700877345000,3,120.9,,3221225472.0,,
504,NFCORE_SAREK:SAREK:BAM_BASERECALIBRATOR:GATK4_BASERECALIBRATOR,1700877346000,1700877353000,3,213.3,,3221225472.0,,
537,NFCORE_SAREK:SAREK:BAM_BASERECALIBRATOR:GATK4_BASERECALIBRATOR,1700877349000,1700877357000,3,219.0,,3221225472.0,,
483,NFCORE_SAREK:SAREK:BAM_BASERECALIBRATOR:GATK4_BASERECALIBRATOR,1700877303000,1700877361000,3,130.4,,3221225472.0,,
526,NFCORE_SAREK:SAREK:BAM_BASERECALIBRATOR:GATK4_BASERECALIBRATOR,1700877338000,1700877363000,3,160.9,,3221225472.0,,
488,NFCORE_SAREK:SAREK:BAM_BASERECALIBRATOR:GATK4_BASERECALIBRATOR,1700877303000,1700877366000,3,123.4,,3221225472.0,,
474,NFCORE_SAREK:SAREK:BAM_BASERECALIBRATOR:GATK4_BASERECALIBRATOR,1700877303000,1700877372000,3,119.5,,3221225472.0,,
477,NFCORE_SAREK:SAREK:BAM_BASERECALIBRATOR:GATK4_BASERECALIBRATOR,1700877319000,1700877379000,3,125.5,,3221225472.0,,
472,NFCORE_SAREK:SAREK:BAM_BASERECALIBRATOR:GATK4_BASERECALIBRATOR,1700877328000,1700877376000,3,135.6,,3221225472.0,,
501,NFCORE_SAREK:SAREK:BAM_BASERECALIBRATOR:GATK4_BASERECALIBRATOR,1700877366000,1700877374000,3,214.3,,3221225472.0,,
475,NFCORE_SAREK:SAREK:BAM_BASERECALIBRATOR:GATK4_BASERECALIBRATOR,1700877303000,1700877385000,3,112.3,,3221225472.0,,
473,NFCORE_SAREK:SAREK:BAM_BASERECALIBRATOR:GATK4_BASERECALIBRATOR,1700877321000,1700877389000,3,121.1,,3221225472.0,,
527,NFCORE_SAREK:SAREK:BAM_BASERECALIBRATOR:GATK4_BASERECALIBRATOR,1700877349000,1700877388000,3,137.8,,3221225472.0,,
547,NFCORE_SAREK:SAREK:BAM_BASERECALIBRATOR:GATK4_BASERECALIBRATOR,1700877379000,1700877387000,3,210.9,,3221225472.0,,
540,NFCORE_SAREK:SAREK:BAM_BASERECALIBRATOR:GATK4_BASERECALIBRATOR,1700877379000,1700877386000,3,214.7,,3221225472.0,,
549,NFCORE_SAREK:SAREK:BAM_BASERECALIBRATOR:GATK4_BASERECALIBRATOR,1700877382000,1700877389000,3,215.3,,3221225472.0,,
476,NFCORE_SAREK:SAREK:BAM_BASERECALIBRATOR:GATK4_BASERECALIBRATOR,1700877346000,1700877393000,3,130.3,,3221225472.0,,
539,NFCORE_SAREK:SAREK:BAM_BASERECALIBRATOR:GATK4_BASERECALIBRATOR,1700877389000,1700877396000,3,210.3,,3221225472.0,,
554,NFCORE_SAREK:SAREK:BAM_BASERECALIBRATOR:GATK4_BASERECALIBRATOR,1700877392000,1700877398000,3,208.5,,3221225472.0,,
551,NFCORE_SAREK:SAREK:BAM_BASERECALIBRATOR:GATK4_BASERECALIBRATOR,1700877392000,1700877400000,3,216.3,,3221225472.0,,
505,NFCORE_SAREK:SAREK:BAM_BASERECALIBRATOR:GATK4_BASERECALIBRATOR,1700877396000,1700877404000,3,208.7,,3221225472.0,,
470,NFCORE_SAREK:SAREK:BAM_BASERECALIBRATOR:GATK4_BASERECALIBRATOR,1700877303000,1700877406000,3,108.8,,3221225472.0,,
515,NFCORE_SAREK:SAREK:BAM_BASERECALIBRATOR:GATK4_BASERECALIBRATOR,1700877338000,1700877410000,3,120.7,,3221225472.0,,
532,NFCORE_SAREK:SAREK:BAM_BASERECALIBRATOR:GATK4_BASERECALIBRATOR,1700877357000,1700877410000,3,129.7,,3221225472.0,,
545,NFCORE_SAREK:SAREK:BAM_BASERECALIBRATOR:GATK4_BASERECALIBRATOR,1700877400000,1700877410000,3,212.4,,3221225472.0,,
467,NFCORE_SAREK:SAREK:BAM_MARKDUPLICATES:CRAM_QC_MOSDEPTH_SAMTOOLS:MOSDEPTH,1700877302000,1700877416000,2,122.0,,5368709120.0,,
486,NFCORE_SAREK:SAREK:BAM_BASERECALIBRATOR:GATK4_BASERECALIBRATOR,1700877303000,1700877416000,3,110.7,,3221225472.0,,
490,NFCORE_SAREK:SAREK:BAM_BASERECALIBRATOR:GATK4_BASERECALIBRATOR,1700877303000,1700877414000,3,112.0,,3221225472.0,,
